                        time,              drag_Gamma_0_2,              lift_Gamma_0_2
      3.0099999999999798e+00,      4.0256560875097871e+07,      2.4691987194195740e+07
      3.0199999999999796e+00,      8.8198602291701548e+05,     -2.4750143308329333e+07
      3.0299999999999794e+00,      6.4723746002089977e+05,      6.6326425540457442e+06
      3.0399999999999792e+00,      6.0424583796039373e+06,     -9.0406127503014740e+05
      3.0499999999999790e+00,      5.2243401501059264e+07,     -3.7154223309133954e+07
      3.0599999999999787e+00,      8.2982364413604736e+06,     -2.2200962327223208e+07
      3.0699999999999785e+00,      7.3821607773832947e+07,      2.3389386972996037e+07
      3.0799999999999783e+00,      1.4024590452502385e+07,     -8.5139716874483183e+07
      3.0899999999999781e+00,      1.8182522873534453e+06,     -2.0898288476301618e+07
      3.0999999999999779e+00,     -3.3765445943346612e+07,      8.7811650604728051e+06
      3.1099999999999777e+00,      3.7390997210867956e+07,     -6.2407642444588691e+06
      3.1199999999999775e+00,     -3.2025538394520350e+07,     -2.2293479909456737e+07
      3.1299999999999772e+00,      9.4202412221581265e+06,     -1.9450165972903296e+07
      3.1399999999999770e+00,     -9.8093581084153652e+07,      5.1680250759182394e+07
      3.1499999999999768e+00,     -2.8125350006801769e+07,     -2.5887626629815158e+06
      3.1599999999999766e+00,     -4.4046514108888429e+08,     -1.9277011166045406e+08
      3.1699999999999764e+00,     -7.9513801311766624e+08,     -8.0484082066508785e+07
      3.1799999999999762e+00,      1.0098830938881695e+08,      8.2655997484872386e+07
      3.1899999999999760e+00,      5.6185440366971157e+06,     -2.1342790078498952e+07
      3.1999999999999758e+00,     -2.0959062889193222e+06,     -2.4465822273865167e+07
      3.2099999999999755e+00,      3.0332366675557583e+06,     -8.8332836205355600e+07
      3.2199999999999753e+00,     -1.7924005424741000e+07,     -2.8088401583399463e+07
      3.2299999999999751e+00,      7.3282507107464135e+07,      4.0007336874699153e+07
      3.2399999999999749e+00,     -5.6713372834145725e+07,      1.0507702277259906e+08
      3.2499999999999747e+00,     -7.1564210105285197e+07,      7.6482466698763475e+07
      3.2599999999999745e+00,      9.4318094623441130e+07,      3.0685582307083201e+08
      3.2699999999999743e+00,     -3.0610374535138167e+07,      1.0289465231600298e+07
      3.2799999999999740e+00,     -5.4815331220123804e+08,      9.6545721986310527e+07
      3.2899999999999738e+00,      8.3731176099184998e+10,      9.0093105229946289e+10
      3.2999999999999736e+00,     -2.9584602915667739e+09,     -2.3339360114864821e+09
      3.3099999999999734e+00,     -5.8775303497714186e+08,     -2.0922361581123742e+08
      3.3199999999999732e+00,      1.2270349815638953e+08,     -6.5442062610199964e+08
      3.3299999999999730e+00,      5.4954235858611536e+08,     -8.4461716228792834e+08
      3.3399999999999728e+00,      4.1462733622111484e+07,      9.5879013036433786e+07
      3.3499999999999726e+00,     -2.2231976094741069e+07,     -7.6695771927165002e+07
      3.3599999999999723e+00,      2.9905537054600614e+08,     -1.1885639308601141e+08
      3.3699999999999721e+00,     -2.6360496094975345e+07,      2.7181366162819885e+07
      3.3799999999999719e+00,      2.7244942394960225e+06,     -6.2601549557148382e+07
      3.3899999999999717e+00,     -1.0776641847895223e+08,     -3.3169561905964851e+07
      3.3999999999999715e+00,     -1.4114250971016347e+07,     -2.4949726910771050e+07
      3.4099999999999713e+00,     -9.9737222935595922e+06,     -3.2428871154404909e+05
      3.4199999999999711e+00,      2.7495016542655744e+07,     -1.6674873101514446e+07
      3.4299999999999708e+00,     -5.9651403736189795e+08,      8.4105353500856757e+08
